text,intent
Sưng khớp khi gắng sức. Đau tăng khi ngồi lâu từng cơn khi nghỉ. Đau lưng âm ỉ nhiều về đêm. Yếu chân nhẹ về đêm.,Đau lưng và viêm khớp
"Hiện tại, Sao mạch trên da tăng dần 2 tuần gần đây. Lòng bàn tay đỏ nhẹ khi nghỉ. Bụng to do cổ trướng dai dẳng 2 tuần gần đây. Vàng da vàng mắt từng cơn vài ngày nay. Đau tức hạ sườn phải dai dẳng gần đây.",Xơ gan hoặc gan có vấn đề
Vảy da từng cơn gần đây. Ngứa dữ dội tăng dần 1 tuần nay. Da rỉ dịch tăng dần 1 tuần nay. Da nứt nẻ từng cơn gần đây.,Viêm da tiếp xúc
"Gần đây, Nặng ngực nhẹ 2 tuần gần đây. Đau lan cánh tay trái dai dẳng về đêm.",Tim mạch
Rát bỏng da từng cơn gần đây. Mụn nước phồng rộp từng cơn khi nghỉ. Da dày lên theo mảng 2 tuần gần đây.,Viêm da tiếp xúc
Phù mặt nhẹ gần đây. Tăng huyết áp khó kiểm soát tăng dần. Chán ăn. Phù chân dai dẳng 2 tuần gần đây. Cơ giật tăng dần về đêm.,Suy thận
Chảy nước mũi nhiều 2 tuần gần đây. Viêm họng tăng dần về đêm. Mệt mỏi dai dẳng khi nghỉ. Sốt khi nghỉ.,Cảm cúm hoặc cảm lạnh
Đau rát hậu môn dai dẳng gần đây. Đau khi ngồi lâu từng cơn 1 tuần nay. Sa búi trĩ tăng dần về đêm. Ngứa quanh hậu môn dai dẳng vài ngày nay. Cảm giác cộm vướng nhẹ về đêm.,Trĩ
Ngứa dai dẳng từng cơn khi nghỉ. Đau ngực về đêm.,Suy thận
Đau rát hậu môn tăng dần 2 tuần gần đây. Ngứa quanh hậu môn nhiều 1 tuần nay. Đau khi ngồi lâu dai dẳng vài ngày nay.,Trĩ
"Gần đây, Vã mồ hôi lạnh nhẹ về đêm. Nặng ngực tăng dần 1 tuần nay.",Tim mạch
Lòng bàn tay đỏ dai dẳng vài ngày nay. Nước tiểu sẫm màu nhiều.,Xơ gan hoặc gan có vấn đề
"Gần đây, Phù mắt cá chân từng cơn gần đây. Chóng mặt nhẹ về đêm. Vã mồ hôi lạnh về đêm. Nặng ngực từng cơn 1 tuần nay.",Tim mạch
Đau lưng dữ dội từng cơn khi nghỉ. Sưng đau khớp gối nhiều. Đau lưng âm ỉ dai dẳng 2 tuần gần đây. Đau tăng khi vận động khớp nhẹ khi nghỉ.,Đau lưng và viêm khớp
Ngứa quanh hậu môn nhẹ 2 tuần gần đây. Sưng quanh hậu môn dai dẳng khi gắng sức.,Trĩ
Sốt từng cơn. Hắt hơi dai dẳng khi gắng sức. Mệt mỏi từng cơn. Đau đầu tăng dần gần đây.,Cảm cúm hoặc cảm lạnh
"Gần đây, Lòng bàn tay đỏ từng cơn về đêm. Đau tức hạ sườn phải dai dẳng. Phân bạc màu vài ngày nay. Bụng to do cổ trướng dai dẳng gần đây. Nước tiểu sẫm màu nhiều vài ngày nay.",Xơ gan hoặc gan có vấn đề
Đau rát khi đi tiểu từng cơn gần đây. Nôn nhiều 2 tuần gần đây. Đau lan xuống háng tăng dần gần đây. Nước tiểu có mùi hôi nhiều về đêm.,Sỏi thận
Đau lưng dữ dội tăng dần khi nghỉ. Đau lan xuống mông hoặc chân tăng dần gần đây. Sưng đau nhức khớp gối từng cơn 2 tuần gần đây.,Đau lưng và viêm khớp
"Hiện tại, Đau tức ngực nhẹ 1 tuần nay. Phù mắt cá chân nhiều 1 tuần nay. Ngất 1 tuần nay.",Tim mạch
Da rỉ dịch nhẹ gần đây. Cảm giác châm chích khi nghỉ. Mụn nước phồng rộp về đêm.,Viêm da tiếp xúc
"Thỉnh thoảng, Sưng nhức khớp cổ tay tăng dần 2 tuần gần đây. Đau lan xuống mông hoặc chân dai dẳng khi gắng sức.",Đau lưng và viêm khớp
Đau khi ngồi lâu từng cơn. Đau rát hậu môn nhiều 2 tuần gần đây. Ngứa quanh hậu môn dai dẳng khi nghỉ. Cảm giác cộm vướng từng cơn 1 tuần nay.,Trĩ
Sụt cân. Bầm tím dễ dàng nhiều vài ngày nay. Chảy máu cam từng cơn về đêm.,Xơ gan hoặc gan có vấn đề
Dịch nhầy quanh hậu môn nhiều về đêm. Đau rát hậu môn vài ngày nay. Sưng quanh hậu môn dai dẳng. Cảm giác cộm vướng dai dẳng về đêm. Đau khi ngồi lâu từng cơn 2 tuần gần đây.,Trĩ
Phù mắt cá chân dai dẳng khi gắng sức. Mệt mỏi bất thường khi gắng sức. Đau lan hàm hoặc cổ tăng dần 1 tuần nay.,Tim mạch
Lạo xạo khi cử động khớp từng cơn về đêm. Giảm khi nghỉ ngơi tăng dần về đêm. Đau lưng dữ dội về đêm. Đau tăng khi ngồi lâu tăng dần về đêm. Đau lan xuống mông hoặc chân nhẹ gần đây.,Đau lưng và viêm khớp
Tê bì chân nhiều 2 tuần gần đây. Sưng đau nhức khớp gối dai dẳng về đêm. Sưng khớp tăng dần khi gắng sức. Sưng đau nhức khớp cổ tay từng cơn khi gắng sức.,Đau lưng và viêm khớp
Đi tiểu nhiều lần tăng dần 2 tuần gần đây. Đói và mệt mỏi tăng dần. Hơi thở mùi trái cây nhiều khi gắng sức. Chuột rút nhiều gần đây. Ngứa da dai dẳng về đêm.,Tiểu đường
Phù chân tăng dần gần đây. Vàng da vàng mắt nhiều. Sao mạch trên da dai dẳng 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
"Khoảng 3 ngày nay, Da khô và ngứa khi gắng sức. Cơ giật về đêm. Nôn từng cơn khi nghỉ. Nấc kéo dài nhiều về đêm. Tiểu ra máu tăng dần vài ngày nay.",Suy thận
"Gần đây, Tiểu buốt dai dẳng. Buồn nôn tăng dần.",Sỏi thận
"Gần đây, Tiểu gấp từng cơn. Tiểu ra máu nhẹ về đêm. Đau tăng từng cơn nhiều khi nghỉ. Nôn tăng dần vài ngày nay.",Sỏi thận
"Hiện tại, Da rỉ dịch 2 tuần gần đây. Ban đỏ giới hạn vùng tiếp xúc từng cơn. Mụn nước phồng rộp từng cơn khi nghỉ.",Viêm da tiếp xúc
"Thỉnh thoảng, Sốt cao nhiều về đêm. Đau đầu. Ho khan từng cơn về đêm.",Cảm cúm hoặc cảm lạnh
"Hiện tại, Đau khi ngồi lâu nhẹ 1 tuần nay. Sưng quanh hậu môn dai dẳng. Ngứa quanh hậu môn từng cơn vài ngày nay. Dịch nhầy quanh hậu môn dai dẳng 2 tuần gần đây. Cảm giác cộm vướng.",Trĩ
"Khoảng 1 tháng, Nấc kéo dài vài ngày nay. Nôn tăng dần khi nghỉ. Chuột rút cơ dai dẳng về đêm.",Suy thận
Sa búi trĩ dai dẳng 2 tuần gần đây. Chảy máu khi đi tiêu tăng dần gần đây. Đau rát hậu môn từng cơn vài ngày nay. Ngứa quanh hậu môn về đêm. Dịch nhầy quanh hậu môn nhẹ gần đây.,Trĩ
Da nứt nẻ gần đây. Ban đỏ giới hạn vùng tiếp xúc từng cơn khi gắng sức. Mụn nước phồng rộp từng cơn khi gắng sức. Ngứa dữ dội nhiều khi nghỉ.,Viêm da tiếp xúc
Đau lan xuống háng tăng dần khi nghỉ. Nước tiểu đục từng cơn vài ngày nay.,Sỏi thận
Da sưng nề tăng dần về đêm. Cảm giác châm chích nhiều khi nghỉ. Ban đỏ giới hạn vùng tiếp xúc khi nghỉ. Vảy da tăng dần gần đây.,Viêm da tiếp xúc
"Hiện tại, Sốt tăng dần 1 tuần nay. Ớn lạnh từng cơn 1 tuần nay. Tiểu buốt khi nghỉ. Đau lan xuống háng dai dẳng khi gắng sức.",Sỏi thận
Sưng quanh hậu môn gần đây. Đau rát hậu môn dai dẳng về đêm. Cảm giác cộm vướng dai dẳng 2 tuần gần đây. Đau khi ngồi lâu tăng dần 2 tuần gần đây. Chảy máu khi đi tiêu từng cơn khi nghỉ.,Trĩ
Da sưng nề nhiều 2 tuần gần đây. Ngứa dữ dội tăng dần 2 tuần gần đây. Da nứt nẻ dai dẳng gần đây. Mụn nước phồng rộp 1 tuần nay. Da rỉ dịch nhiều về đêm.,Viêm da tiếp xúc
Sổ mũi dai dẳng. Khò khè nhiều. Mệt mỏi dai dẳng khi nghỉ.,Cảm cúm hoặc cảm lạnh
Chán ăn tăng dần vài ngày nay. Tiểu nhiều bất thường nhiều 2 tuần gần đây. Nấc kéo dài vài ngày nay. Phù chân về đêm.,Suy thận
Buồn nôn vài ngày nay. Đau rát khi đi tiểu nhẹ 1 tuần nay. Nôn nhẹ vài ngày nay.,Sỏi thận
Phân bạc màu dai dẳng khi nghỉ. Lòng bàn tay đỏ dai dẳng khi gắng sức. Buồn nôn nhiều khi nghỉ. Rối loạn giấc ngủ 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
"Khoảng 1 tuần nay, Cảm giác cộm vướng nhiều khi gắng sức. Đau khi ngồi lâu nhiều gần đây. Sưng quanh hậu môn về đêm. Chảy máu khi đi tiêu vài ngày nay. Ngứa quanh hậu môn nhẹ 1 tuần nay.",Trĩ
Tiểu đêm nhiều nhiều gần đây. Đau ngực nhẹ 1 tuần nay. Nước tiểu sẫm màu tăng dần gần đây. Tiểu ít gần đây.,Suy thận
Viêm họng gần đây. Sốt nhiều vài ngày nay. Ho khan dai dẳng về đêm. Đau đầu tăng dần. Ớn lạnh nhẹ về đêm.,Cảm cúm hoặc cảm lạnh
Da nứt nẻ từng cơn. Da dày lên theo mảng nhiều. Da sưng nề nhiều 1 tuần nay. Mụn nước phồng rộp dai dẳng khi gắng sức.,Viêm da tiếp xúc
"Khoảng 1 tuần nay, Dịch nhầy quanh hậu môn nhiều vài ngày nay. Chảy máu khi đi tiêu tăng dần 2 tuần gần đây. Sa búi trĩ nhẹ. Đau rát hậu môn tăng dần 1 tuần nay.",Trĩ
"Hiện tại, Cơ giật từng cơn khi nghỉ. Buồn nôn dai dẳng 1 tuần nay. Nước tiểu sẫm màu nhẹ vài ngày nay.",Suy thận
"Gần đây, Chóng mặt nhiều vài ngày nay. Vã mồ hôi lạnh nhiều về đêm. Đau lan hàm hoặc cổ nhiều khi gắng sức. Mệt mỏi bất thường nhiều khi nghỉ. Hồi hộp đánh trống ngực nhẹ vài ngày nay.",Tim mạch
"Gần đây, Cảm giác châm chích vài ngày nay. Da dày lên theo mảng khi nghỉ. Rát bỏng da nhẹ 1 tuần nay.",Viêm da tiếp xúc
"Khoảng vài hôm, Đau tăng khi nâng vật nặng 2 tuần gần đây. Sưng đau khớp cổ tay từng cơn khi gắng sức. Sưng khớp dai dẳng 1 tuần nay. Yếu chân nhẹ khi gắng sức. Cứng lưng buổi sáng nhẹ khi nghỉ.",Đau lưng và viêm khớp
Đau rát khi đi tiểu nhiều 1 tuần nay. Nước tiểu có mùi hôi từng cơn.,Sỏi thận
Nôn nhiều. Nước tiểu đục tăng dần 2 tuần gần đây.,Sỏi thận
Sốt cao vài ngày nay. Mệt mỏi nhẹ khi gắng sức. Sổ mũi nhẹ 2 tuần gần đây.,Cảm cúm hoặc cảm lạnh
Đau khi ngồi lâu tăng dần 1 tuần nay. Đau rát hậu môn nhẹ về đêm. Sa búi trĩ nhiều 2 tuần gần đây. Chảy máu khi đi tiêu nhẹ 1 tuần nay.,Trĩ
Cảm giác châm chích dai dẳng khi gắng sức. Vảy da dai dẳng vài ngày nay. Da sưng nề dai dẳng. Mụn nước phồng rộp.,Viêm da tiếp xúc
Da sưng nề 1 tuần nay. Ngứa dữ dội từng cơn. Da dày lên theo mảng từng cơn 1 tuần nay.,Viêm da tiếp xúc
"Khoảng 3 ngày nay, Tiểu ra máu tăng dần về đêm. Buồn nôn nhẹ khi nghỉ. Tiểu buốt nhẹ gần đây. Đau rát khi đi tiểu nhiều gần đây. Nước tiểu có mùi hôi từng cơn khi nghỉ.",Sỏi thận
"Hiện tại, Tim đập nhanh từng cơn. Phù mắt cá chân nhiều 1 tuần nay. Đau lan hàm hoặc cổ 1 tuần nay. Ho khan dai dẳng nhẹ 2 tuần gần đây. Nặng ngực về đêm.",Tim mạch
Hồi hộp đánh trống ngực từng cơn khi nghỉ. Khò khè khi nằm nhiều 2 tuần gần đây.,Tim mạch
Vã mồ hôi lạnh tăng dần 2 tuần gần đây. Mệt mỏi bất thường nhiều 2 tuần gần đây.,Tim mạch
"Khoảng vài hôm, Hạn chế vận động từng cơn vài ngày nay. Đau lưng âm ỉ dai dẳng 1 tuần nay. Sưng khớp tăng dần 1 tuần nay. Cứng khớp buổi sáng tăng dần 2 tuần gần đây. Nóng đỏ khớp tăng dần.",Đau lưng và viêm khớp
Chảy nước mũi tăng dần về đêm. Đổ mồ hôi tăng dần khi nghỉ.,Cảm cúm hoặc cảm lạnh
Tiểu buốt từng cơn khi nghỉ. Nôn tăng dần 1 tuần nay.,Sỏi thận
Đổ mồ hôi vài ngày nay. Nhức mỏi toàn thân 1 tuần nay.,Cảm cúm hoặc cảm lạnh
Phù chân từng cơn gần đây. Buồn nôn dai dẳng. Mệt mỏi từng cơn.,Xơ gan hoặc gan có vấn đề
Sổ mũi 2 tuần gần đây. Chảy nước mũi tăng dần. Sốt từng cơn. Mệt mỏi từng cơn vài ngày nay.,Cảm cúm hoặc cảm lạnh
"Thỉnh thoảng, Sa búi trĩ tăng dần 2 tuần gần đây. Cảm giác cộm vướng dai dẳng vài ngày nay. Đau khi ngồi lâu dai dẳng về đêm. Chảy máu khi đi tiêu từng cơn 1 tuần nay.",Trĩ
"Gần đây, Vàng da vàng mắt nhẹ khi nghỉ. Buồn nôn nhiều về đêm.",Xơ gan hoặc gan có vấn đề
Sưng đau khớp gối gần đây. Yếu chân 1 tuần nay. Giảm khi nghỉ ngơi tăng dần 1 tuần nay.,Đau lưng và viêm khớp
Tiểu gấp dai dẳng khi gắng sức. Nôn vài ngày nay. Buồn nôn nhẹ vài ngày nay.,Sỏi thận
"Khoảng 3 ngày nay, Khát nước liên tục tăng dần. Chuột rút gần đây. Đói và mệt mỏi tăng dần vài ngày nay. Ngứa da dai dẳng khi nghỉ.",Tiểu đường
Buồn nôn tăng dần vài ngày nay. Tiểu buốt vài ngày nay.,Sỏi thận
Chảy máu cam từng cơn khi gắng sức. Mệt mỏi dai dẳng 2 tuần gần đây.,Xơ gan hoặc gan có vấn đề
Sốt dai dẳng. Ho nhiều. Đau cơ nhẹ 2 tuần gần đây. Ho có đờm dai dẳng gần đây. Nhức mỏi toàn thân dai dẳng 2 tuần gần đây.,Cảm cúm hoặc cảm lạnh
Bầm tím dễ dàng từng cơn khi gắng sức. Nước tiểu sẫm màu dai dẳng. Phù chân.,Xơ gan hoặc gan có vấn đề
Sưng đau khớp cổ tay dai dẳng khi nghỉ. Giảm khi nghỉ ngơi nhiều 2 tuần gần đây. Cứng khớp buổi sáng từng cơn gần đây.,Đau lưng và viêm khớp
Đau rát hậu môn nhiều gần đây. Đau khi ngồi lâu từng cơn gần đây. Sưng quanh hậu môn dai dẳng khi gắng sức. Ngứa quanh hậu môn nhẹ. Dịch nhầy quanh hậu môn từng cơn gần đây.,Trĩ
Khó thở tăng dần về đêm. Khò khè khi nằm nhẹ. Tim đập nhanh dai dẳng vài ngày nay. Đau tức ngực 2 tuần gần đây. Hồi hộp đánh trống ngực từng cơn.,Tim mạch
"Hiện tại, Tiểu buốt nhiều khi nghỉ. Ớn lạnh tăng dần về đêm.",Sỏi thận
Tiểu buốt nhẹ khi nghỉ. Tiểu gấp nhiều khi gắng sức. Nôn từng cơn vài ngày nay. Ớn lạnh từng cơn 1 tuần nay. Nước tiểu có mùi hôi từng cơn về đêm.,Sỏi thận
Vảy da nhẹ. Da dày lên theo mảng nhẹ 1 tuần nay.,Viêm da tiếp xúc
"Gần đây, Đau lan xuống mông hoặc chân dai dẳng vài ngày nay. Lạo xạo khi cử động khớp dai dẳng 2 tuần gần đây.",Đau lưng và viêm khớp
Chuột rút cơ về đêm. Ngứa dai dẳng khi nghỉ. Tiểu ít nhiều 1 tuần nay. Phù mặt nhẹ. Đau ngực tăng dần gần đây.,Suy thận
"Hiện tại, Đau quặn hông lưng tăng dần gần đây. Đau rát khi đi tiểu nhẹ vài ngày nay. Buồn nôn nhiều 1 tuần nay. Tiểu buốt vài ngày nay.",Sỏi thận
Da rỉ dịch từng cơn khi nghỉ. Cảm giác châm chích dai dẳng 1 tuần nay. Vảy da từng cơn khi nghỉ.,Viêm da tiếp xúc
Nước tiểu sẫm màu tăng dần khi gắng sức. Khó thở nhẹ 1 tuần nay.,Suy thận
"Hiện tại, Mệt mỏi nhẹ 2 tuần gần đây. Nấc kéo dài từng cơn. Đau ngực dai dẳng vài ngày nay. Nôn dai dẳng gần đây.",Suy thận
Rát bỏng da khi gắng sức. Vảy da nhiều về đêm. Da sưng nề nhẹ khi nghỉ. Mụn nước phồng rộp dai dẳng khi gắng sức.,Viêm da tiếp xúc
Viêm họng vài ngày nay. Mệt mỏi 2 tuần gần đây.,Cảm cúm hoặc cảm lạnh
Ớn lạnh từng cơn về đêm. Đau tăng từng cơn tăng dần khi gắng sức.,Sỏi thận
Đi tiểu nhiều lần dai dẳng. Ngứa da tăng dần vài ngày nay.,Tiểu đường
"Hiện tại, Phù chân nhẹ gần đây. Sao mạch trên da tăng dần 1 tuần nay.",Xơ gan hoặc gan có vấn đề
Hơi thở mùi trái cây 2 tuần gần đây. Khát nước liên tục tăng dần gần đây. Giảm cân không chủ ý nhẹ gần đây. Đói và mệt mỏi nhiều 1 tuần nay. Vết thương lâu lành dai dẳng về đêm.,Tiểu đường
Vảy da dai dẳng vài ngày nay. Ngứa dữ dội nhiều. Da nứt nẻ nhiều về đêm. Da sưng nề từng cơn gần đây. Rát bỏng da nhiều 1 tuần nay.,Viêm da tiếp xúc
"Thỉnh thoảng, Tiểu buốt tăng dần khi gắng sức. Tiểu gấp 1 tuần nay. Đau rát khi đi tiểu tăng dần về đêm. Sốt tăng dần khi nghỉ. Đau tăng từng cơn từng cơn vài ngày nay.",Sỏi thận
"Hiện tại, Nặng ngực từng cơn về đêm. Chóng mặt nhẹ vài ngày nay. Ngất. Khò khè khi nằm khi nghỉ. Đau tức ngực từng cơn 1 tuần nay.",Tim mạch
"Thỉnh thoảng, Chảy máu cam tăng dần gần đây. Nước tiểu sẫm màu tăng dần vài ngày nay.",Xơ gan hoặc gan có vấn đề
Khát nước liên tục nhẹ khi nghỉ. Khô miệng dai dẳng 2 tuần gần đây. Tê bì tay chân 1 tuần nay. Giảm cân không chủ ý từng cơn khi nghỉ.,Tiểu đường
Lòng bàn tay đỏ nhiều khi gắng sức. Bầm tím dễ dàng khi gắng sức. Phù chân tăng dần. Sụt cân nhẹ gần đây.,Xơ gan hoặc gan có vấn đề
Phù mắt cá chân dai dẳng khi nghỉ. Ho khan dai dẳng từng cơn khi gắng sức. Ngất tăng dần 2 tuần gần đây. Khò khè khi nằm gần đây. Đau lan cánh tay trái dai dẳng khi nghỉ.,Tim mạch
Tiểu ra máu nhẹ khi gắng sức. Đau tăng từng cơn tăng dần vài ngày nay. Đau quặn hông lưng nhẹ 1 tuần nay.,Sỏi thận
"Thỉnh thoảng, Khó thở về đêm. Tim đập nhanh nhiều 1 tuần nay. Vã mồ hôi lạnh nhẹ vài ngày nay. Nặng ngực từng cơn vài ngày nay.",Tim mạch
Đau tăng khi ngồi lâu khi gắng sức. Đau lưng âm ỉ gần đây. Cứng lưng buổi sáng dai dẳng 1 tuần nay. Đau tăng khi vận động khớp từng cơn. Tê bì chân tăng dần khi nghỉ.,Đau lưng và viêm khớp
Chảy máu khi đi tiêu từng cơn 2 tuần gần đây. Sa búi trĩ dai dẳng khi nghỉ. Đau rát hậu môn dai dẳng vài ngày nay.,Trĩ
"Gần đây, Da rỉ dịch tăng dần 1 tuần nay. Vảy da từng cơn gần đây. Ban đỏ giới hạn vùng tiếp xúc nhiều 2 tuần gần đây. Mụn nước phồng rộp từng cơn 1 tuần nay. Da dày lên theo mảng dai dẳng về đêm.",Viêm da tiếp xúc
Bầm tím dễ dàng từng cơn về đêm. Lòng bàn tay đỏ nhiều vài ngày nay. Sao mạch trên da nhiều 1 tuần nay.,Xơ gan hoặc gan có vấn đề
Cảm giác kiến bò ở bàn chân từng cơn khi gắng sức. Ngứa da dai dẳng. Chuột rút nhiều gần đây.,Tiểu đường
Mệt mỏi từng cơn khi gắng sức. Buồn nôn nhẹ vài ngày nay. Tiểu đêm nhiều nhẹ khi nghỉ.,Suy thận
Da sưng nề nhẹ 2 tuần gần đây. Da nứt nẻ từng cơn về đêm. Vảy da tăng dần về đêm. Mụn nước phồng rộp tăng dần khi gắng sức. Rát bỏng da nhiều 1 tuần nay.,Viêm da tiếp xúc
Nước tiểu sẫm màu dai dẳng. Bầm tím dễ dàng dai dẳng vài ngày nay.,Xơ gan hoặc gan có vấn đề
"Khoảng vài hôm, Da nứt nẻ 2 tuần gần đây. Mụn nước phồng rộp dai dẳng vài ngày nay. Vảy da tăng dần gần đây. Ban đỏ giới hạn vùng tiếp xúc khi gắng sức. Rát bỏng da gần đây.",Viêm da tiếp xúc
Da nứt nẻ nhiều về đêm. Ngứa dữ dội tăng dần 1 tuần nay. Rát bỏng da từng cơn. Mụn nước phồng rộp 1 tuần nay. Cảm giác châm chích nhiều khi gắng sức.,Viêm da tiếp xúc
Lạo xạo khi cử động khớp từng cơn. Giảm khi nghỉ ngơi tăng dần. Sưng khớp 1 tuần nay. Đau tăng khi nâng vật nặng nhiều 2 tuần gần đây.,Đau lưng và viêm khớp
Chảy nước mũi dai dẳng 2 tuần gần đây. Đổ mồ hôi nhẹ. Ho nhẹ khi nghỉ.,Cảm cúm hoặc cảm lạnh
Đau tức ngực nhẹ vài ngày nay. Hồi hộp đánh trống ngực tăng dần vài ngày nay. Vã mồ hôi lạnh về đêm. Tim đập nhanh nhiều về đêm. Mệt mỏi bất thường từng cơn 1 tuần nay.,Tim mạch
Phân bạc màu về đêm. Sụt cân nhẹ gần đây. Chán ăn tăng dần về đêm. Nước tiểu sẫm màu 2 tuần gần đây. Bụng to do cổ trướng nhiều vài ngày nay.,Xơ gan hoặc gan có vấn đề
"Gần đây, Vết thương lâu lành 1 tuần nay. Khát về đêm dai dẳng khi nghỉ.",Tiểu đường
Ngứa da dai dẳng khi nghỉ. Chán ăn nhẹ khi gắng sức.,Xơ gan hoặc gan có vấn đề
"Thỉnh thoảng, Đau tức ngực tăng dần 2 tuần gần đây. Tim đập nhanh nhẹ khi nghỉ. Nhịp tim không đều nhiều vài ngày nay. Khó thở nhiều 2 tuần gần đây.",Tim mạch
"Thỉnh thoảng, Nước tiểu có bọt nhẹ 1 tuần nay. Chuột rút cơ gần đây. Ngứa dai dẳng nhẹ.",Suy thận
Khó thở vài ngày nay. Tăng huyết áp khó kiểm soát tăng dần khi nghỉ. Mệt mỏi tăng dần về đêm.,Suy thận
Tê bì chân tăng dần. Đau tăng khi nâng vật nặng nhiều vài ngày nay. Cứng lưng buổi sáng nhiều về đêm. Yếu chân nhẹ khi gắng sức.,Đau lưng và viêm khớp
Đau tức ngực nhiều 2 tuần gần đây. Đau lan hàm hoặc cổ từng cơn khi gắng sức.,Tim mạch
"Khoảng 3 ngày nay, Đi tiểu nhiều lần nhẹ 2 tuần gần đây. Nhìn mờ khi nghỉ. Ngứa da gần đây. Vết thương lâu lành dai dẳng về đêm. Giảm cân không chủ ý nhiều gần đây.",Tiểu đường
Sưng đau khớp cổ tay nhiều khi nghỉ. Đau lưng dữ dội dai dẳng về đêm. Đau lan xuống mông hoặc chân từng cơn 2 tuần gần đây. Nóng đỏ khớp từng cơn khi nghỉ.,Đau lưng và viêm khớp
"Gần đây, Nhịp tim không đều dai dẳng khi gắng sức. Ho khan dai dẳng từng cơn gần đây. Ngất 2 tuần gần đây.",Tim mạch
"Thỉnh thoảng, Cứng lưng buổi sáng 2 tuần gần đây. Yếu chân từng cơn về đêm.",Đau lưng và viêm khớp
Đau khi ngồi lâu 1 tuần nay. Dịch nhầy quanh hậu môn nhẹ. Đau rát hậu môn từng cơn 1 tuần nay.,Trĩ
Ngứa da từng cơn khi nghỉ. Nhìn mờ nhẹ về đêm. Khát về đêm tăng dần khi nghỉ.,Tiểu đường
Đau lan xuống háng dai dẳng khi nghỉ. Tiểu ra máu nhẹ gần đây.,Sỏi thận
"Khoảng 1 tháng, Da sưng nề dai dẳng khi nghỉ. Vảy da dai dẳng khi nghỉ. Cảm giác châm chích nhiều vài ngày nay. Ngứa dữ dội tăng dần gần đây.",Viêm da tiếp xúc
"Khoảng 1 tuần nay, Ho khan dai dẳng gần đây. Đau lan cánh tay trái từng cơn vài ngày nay. Đau lan hàm hoặc cổ 2 tuần gần đây. Khò khè khi nằm tăng dần về đêm. Phù mắt cá chân nhẹ khi nghỉ.",Tim mạch
Sưng khớp dai dẳng 2 tuần gần đây. Giảm khi nghỉ ngơi nhẹ gần đây. Tê bì chân nhẹ gần đây. Cứng khớp buổi sáng dai dẳng khi gắng sức. Sưng nhức khớp gối gần đây.,Đau lưng và viêm khớp
Bầm tím dễ dàng tăng dần. Đau tức hạ sườn phải nhẹ 1 tuần nay. Sụt cân tăng dần vài ngày nay.,Xơ gan hoặc gan có vấn đề
"Gần đây, Cứng khớp buổi sáng nhẹ vài ngày nay. Đau lan xuống mông hoặc chân khi nghỉ. Giảm khi nghỉ ngơi khi nghỉ.",Đau lưng và viêm khớp
"Thỉnh thoảng, Da dày lên theo mảng nhẹ gần đây. Da nứt nẻ nhiều 2 tuần gần đây. Cảm giác châm chích.",Viêm da tiếp xúc
"Gần đây, Cảm giác kiến bò ở bàn chân nhiều vài ngày nay. Ngứa da tăng dần về đêm.",Tiểu đường
"Gần đây, Chuột rút cơ nhẹ khi gắng sức. Hơi thở có mùi hôi nhẹ về đêm.",Suy thận
Nhiễm trùng da tái phát nhẹ 2 tuần gần đây. Giảm cân không chủ ý nhiều khi gắng sức. Hơi thở mùi trái cây nhiều gần đây. Khát nước liên tục 2 tuần gần đây. Tê bì tay chân khi nghỉ.,Tiểu đường
Vàng da vàng mắt dai dẳng 2 tuần gần đây. Lòng bàn tay đỏ dai dẳng 2 tuần gần đây. Bụng to do cổ trướng nhiều. Rối loạn giấc ngủ nhẹ vài ngày nay.,Xơ gan hoặc gan có vấn đề
Hoa mắt chóng mặt từng cơn 2 tuần gần đây. Khó thở nhẹ vài ngày nay. Phù chân từng cơn khi nghỉ. Cơ giật từng cơn về đêm.,Suy thận
Bầm tím dễ dàng dai dẳng 1 tuần nay. Sụt cân nhiều gần đây.,Xơ gan hoặc gan có vấn đề
"Gần đây, Đau tăng từng cơn từng cơn về đêm. Sốt từng cơn 1 tuần nay.",Sỏi thận
"Khoảng 1 tuần nay, Ngứa dữ dội tăng dần 2 tuần gần đây. Mụn nước phồng rộp từng cơn về đêm.",Viêm da tiếp xúc
Sa búi trĩ tăng dần gần đây. Sưng quanh hậu môn tăng dần 1 tuần nay. Chảy máu khi đi tiêu tăng dần.,Trĩ
"Gần đây, Ban đỏ giới hạn vùng tiếp xúc tăng dần 2 tuần gần đây. Da nứt nẻ nhẹ gần đây.",Viêm da tiếp xúc
"Khoảng 2 tuần, Nôn nhiều về đêm. Đau quặn hông lưng tăng dần khi gắng sức. Nước tiểu có mùi hôi dai dẳng khi gắng sức. Ớn lạnh từng cơn 1 tuần nay. Tiểu gấp dai dẳng về đêm.",Sỏi thận
Ngứa da tăng dần khi gắng sức. Vết thương lâu lành. Nhiễm trùng da tái phát từng cơn về đêm. Khát về đêm tăng dần khi nghỉ. Cảm giác kiến bò ở bàn chân nhẹ về đêm.,Tiểu đường
"Hiện tại, Nước tiểu có mùi hôi dai dẳng khi gắng sức. Nước tiểu đục từng cơn 1 tuần nay.",Sỏi thận
